blh,d2m,rh2m,sp,ssrd,t2m,tcc,tp,u10,v10,date,value,date_unix,day_julian,weekday,hour,set
769.8111079210197,272.1509690053561,80.60410164161142,102115.45335389231,-5.820766091346741e-11,275.1342345911764,0.5891084449184596,2.159896404141295e-07,2.3223887904815657,-5.633863360180408,2020-12-25 02:00:00,5.8,1608861600,360,5,2,training
701.3778013137078,271.9908712504466,81.79027388703982,102154.79596086132,-5.820766091346741e-11,274.7660086343357,0.249492904585215,0.0,2.4465850533030835,-5.2307108020385185,2020-12-25 03:00:00,1.7,1608865200,360,5,3,training
560.7575806142784,271.70030577287946,82.01836718350252,102177.90351735958,-5.820766091346741e-11,274.4299669513577,0.1470558484090346,0.0,2.5146699610880368,-4.740070591983141,2020-12-25 04:00:00,3.7,1608868800,360,5,4,training
489.10289444911103,271.4166698996293,82.9862762780313,102205.89154915272,-5.820766091346741e-11,273.97702062655503,0.0662109916205044,0.0,2.314641197526726,-4.3948490465947785,2020-12-25 05:00:00,2.8,1608872400,360,5,5,training
458.7098786206487,271.186320294058,83.003160232114,102258.5807620302,-5.820766091346741e-11,273.7389516596002,0.0992325601539849,0.0,2.2965634806321003,-4.214257981327408,2020-12-25 06:00:00,4.1,1608876000,360,5,6,training
435.12377785791574,270.81021004595715,82.28227172551964,102299.01898590212,-5.820766091346741e-11,273.47532459281325,0.116277427091091,0.0,2.3101804621890913,-4.116721072099531,2020-12-25 07:00:00,3.5,1608879600,360,5,7,testing
390.3325960056473,270.6135526544787,82.87542868876592,102335.17434369898,-5.820766091346741e-11,273.1752535688583,0.163185145054085,5.3997410103369746e-08,2.266746986533173,-3.64499711110653,2020-12-25 08:00:00,3.6,1608883200,360,5,8,training
379.0997855473861,270.5595495311809,82.74304693750703,102337.863585188,75764.16659450199,273.1421226987055,0.798575668235967,5.3997410103369746e-08,2.463019341389107,-3.3860809520652575,2020-12-25 09:00:00,2.0,1608886800,360,5,9,training
364.5615595428037,270.91152564010883,78.9797896507053,102377.00698908372,366406.5628881632,274.1466980115516,0.6503448379521273,5.3997410103369746e-08,2.2312958793761797,-2.872090997073509,2020-12-25 10:00:00,3.1,1608890400,360,5,10,training
385.2344127053891,271.10674932034925,74.59507410289656,102368.93926461668,627601.155725932,275.14464715036723,0.1151482237308888,5.3997410103369746e-08,2.3684047971224302,-3.0343569460617035,2020-12-25 11:00:00,2.0,1608894000,360,5,11,testing
390.05247604409465,271.3232397172866,71.51154944766127,102341.1504358968,772283.080828552,275.96226969592277,0.0,0.0,2.2719120485030655,-2.8774111921223025,2020-12-25 12:00:00,16.6,1608897600,360,5,12,training
406.38346980261406,271.44032613505624,69.69599748454281,102273.0229848416,772475.5501321853,276.4474002945882,0.4426171981895259,0.0,2.4965922441934114,-2.612879271640638,2020-12-25 13:00:00,5.0,1608901200,360,5,13,training
426.4400590497836,271.3564540276335,68.38742026351893,102271.23015718226,646036.9654525202,276.62843683506577,0.8070141744277484,0.0,2.671030473449343,-2.3864754156753247,2020-12-25 14:00:00,2.8,1608904800,360,5,14,training
426.80421499980207,271.26660812338577,69.35066456411303,102250.91144370966,378064.70356537926,276.33664852864894,0.7449690276360978,0.0,2.5860417264901945,-1.7882490390776833,2020-12-25 15:00:00,6.3,1608908400,360,5,15,training
379.15580953969663,271.0319573841005,73.90168966624955,102278.50106935628,80204.70838546986,275.1981298407567,0.6354210421916172,0.0,2.6015369123998737,-1.4991851080932497,2020-12-25 16:00:00,9.8,1608912000,360,5,16,testing
285.09152645031736,270.869709062334,77.80341145304403,102236.66842397153,-5.820766091346741e-11,274.31235236231544,0.8179094609032127,0.0,2.4714712609762044,-1.042239466680229,2020-12-25 17:00:00,10.3,1608915600,360,5,17,training
186.9655039184248,270.9970704106426,81.74137253278282,102185.87164029,-5.820766091346741e-11,273.75764693632925,0.9618065918046548,0.0,2.2923375208385517,-0.4685451005853564,2020-12-25 18:00:00,12.3,1608919200,360,5,18,training
162.79115123643123,271.23793389862584,83.95743298918751,102175.91148662697,-5.820766091346741e-11,273.6334061732564,0.9647669357489688,0.0,2.499879101810616,-0.0582989490450764,2020-12-25 19:00:00,11.2,1608922800,360,5,19,training
151.89448473203322,271.534712124891,84.98736474500623,102134.27804431543,-5.820766091346741e-11,273.76711289923,0.9817965431812072,0.0,2.582989644417076,0.4149028439059236,2020-12-25 20:00:00,18.5,1608926400,360,5,20,testing
178.56190507184533,271.7586100298913,86.07435908029983,102120.0350245773,-5.820766091346741e-11,273.81893904611184,0.9219487650904908,0.0,3.061931754352609,0.4119471799899273,2020-12-25 21:00:00,17.8,1608930000,360,5,21,training
216.91032780840283,271.66589670316756,86.39357231012794,102121.92745377329,-5.820766091346741e-11,273.6733998665122,0.8872944295361775,0.0,3.239422065681659,0.6389421687384396,2020-12-25 22:00:00,16.8,1608933600,360,5,22,training
201.55975391531777,271.80807306760215,88.79194027206331,102060.77211028224,-5.820766091346741e-11,273.4391172847177,0.9503314441442215,0.0,2.9938468465676555,1.271158680370038,2020-12-25 23:00:00,14.5,1608937200,360,5,23,training
217.47056773150817,271.865182565249,88.66825127248315,102015.25420804213,-5.820766091346741e-11,273.51626488235917,0.8606665935422202,0.0,3.1640591160300384,1.7662323862994105,2020-12-26 00:00:00,14.6,1608940800,361,6,0,training
249.6843633100627,271.9901543948276,89.04419945646357,101951.6088261353,-5.820766091346741e-11,273.5844198152448,0.6423335978966387,0.0,3.475606263032221,1.8850500757224595,2020-12-26 01:00:00,10.6,1608944400,361,6,1,testing
276.21172366909843,272.4823952532061,89.76295563850032,101838.5610820598,-5.820766091346741e-11,273.9715776978871,0.3034657733019065,4.859766909318455e-07,3.5340653735096463,2.118843091477763,2020-12-26 02:00:00,10.6,1608948000,361,6,2,training
305.0920917051765,272.3913545895934,91.79007595447544,101734.47747628104,-5.820766091346741e-11,273.57022087089365,0.2765785257252002,0.0,3.6906606614150386,2.3062321837519257,2020-12-26 03:00:00,11.3,1608951600,361,6,3,training
352.6284491806608,273.07212847576835,93.63934077910078,101691.74841706658,-5.820766091346741e-11,273.9805703626428,0.4762491469177102,5.3997410103369746e-08,3.997042746447328,1.9828825513419357,2020-12-26 04:00:00,8.2,1608955200,361,6,4,training
355.7377807538952,273.72996298213536,93.07983750569976,101596.62894958456,-5.820766091346741e-11,274.72696153736996,0.63781678445583,1.144745094195168e-05,3.8789506477720472,2.3724390554702417,2020-12-26 05:00:00,10.6,1608958800,361,6,5,training
385.8226646246496,274.4050020233583,92.06430056568018,101532.5851615312,-5.820766091346741e-11,275.56162281614695,0.8071820289812919,2.0843000299968807e-05,3.876837667875273,2.823768935442869,2020-12-26 06:00:00,8.5,1608962400,361,6,6,training
435.4599218117789,275.04085295740936,93.27340205308408,101455.39397064265,-5.820766091346741e-11,276.01930212240006,0.9210942328179054,2.5378782748666177e-06,3.8862286896387146,3.118448627867696,2020-12-26 07:00:00,7.6,1608966000,361,6,7,training
466.1610695979492,275.8563956999559,93.6875451205648,101360.37410469724,-5.820766091346741e-11,276.77847234704325,0.70215085697762,1.0259507919672776e-06,3.901019548916135,3.377955919692167,2020-12-26 08:00:00,2.4,1608969600,361,6,8,training
500.9799808189433,276.7228351914513,94.6434143881184,101286.96777220065,43484.31481371977,277.50640489411387,0.7643943773325492,5.3997410103369746e-08,4.211392818197888,3.36731552959458,2020-12-26 09:00:00,2.1,1608973200,361,6,9,training
519.4118742891076,277.73145104738126,93.3284050608408,101260.17495884708,264081.632392268,278.72301777593765,1.0000011324882507,0.0,4.0348416090451815,3.6950986578785647,2020-12-26 10:00:00,5.0,1608976800,361,6,10,training
655.5501756036945,278.73552681772424,92.67902117382584,101118.7407768319,383591.322141135,279.83668831121537,1.0000011324882507,0.0,4.205053878507565,4.4555909834644005,2020-12-26 11:00:00,5.4,1608980400,361,6,11,training
839.7010383284054,279.42657563443817,91.10793715052463,100950.7129845364,323499.65598534327,280.78423119758423,1.0000011324882507,0.0,4.013711810077437,4.788103174013979,2020-12-26 12:00:00,5.7,1608984000,361,6,12,training
1112.5098688845294,280.0019717446204,89.92331689255198,100794.63737663656,262363.1564669708,281.55878361194124,1.0000011324882507,0.0,5.25379623393993,4.81086178616715,2020-12-26 13:00:00,5.5,1608987600,361,6,13,training
1232.5972964021496,280.31786612072545,89.69413039345973,100678.103578779,169757.92580455646,281.91636036051847,1.0000011324882507,2.699870505177161e-07,5.49420639108404,4.668103219024531,2020-12-26 14:00:00,6.2,1608991200,361,6,14,training
1206.5461399777532,280.475574356905,89.72416592998876,100486.56982383874,77207.6863717516,282.0711288539464,1.0000011324882507,4.157800577972914e-06,5.477067776365759,5.048792731404848,2020-12-26 15:00:00,6.3,1608994800,361,6,15,training
1202.4003645467742,280.46004248516005,89.31584011025399,100321.82888225208,22436.421680679952,282.1229550008282,1.0000011324882507,2.375886044555858e-06,5.503832188391568,5.488595522105091,2020-12-26 16:00:00,2.0,1608998400,361,6,16,testing
1219.7117781707277,280.4148805811632,89.1200093634869,100151.2114500042,-5.820766091346741e-11,282.10970265276706,1.0000011324882507,5.939715111390187e-07,5.7315644661550325,5.910368762917756,2020-12-26 17:00:00,7.1,1609002000,361,6,17,training
1320.5829763258364,280.3226451581854,87.56237382988337,99976.70955782774,-5.820766091346741e-11,282.27748684518355,1.0000011324882507,2.699870505177161e-07,6.197359145621746,6.302880930962059,2020-12-26 18:00:00,9.0,1609005600,361,6,18,testing
1414.6752714113709,280.2038860773048,86.28682518992298,99785.2754044241,-5.820766091346741e-11,282.3745129649166,1.0000011324882507,1.9979041738311856e-06,6.362641128658323,6.747412783927895,2020-12-26 19:00:00,3.3,1609009200,361,6,19,training
1485.685681664967,280.2103377778758,85.2983401622927,99580.29544203874,-5.820766091346741e-11,282.5522364183789,1.0000011324882507,3.023854965798463e-06,6.640380597312115,7.205836257298913,2020-12-26 20:00:00,2.4,1609012800,361,6,20,training
1548.880744991245,280.1725833819419,83.7474152009166,99358.6820230361,-5.820766091346741e-11,282.78675564924595,1.0000011324882507,7.8296244650142e-06,6.977753054163761,7.636180923467968,2020-12-26 21:00:00,3.9,1609016400,361,6,21,training
1551.0936926875106,280.42324389671813,85.56664147302,99086.4710234252,-5.820766091346741e-11,282.7223871015206,1.0000011324882507,3.493632433699428e-05,6.050389655023882,8.127116699914946,2020-12-26 22:00:00,0.7,1609020000,361,6,22,testing
1774.4053260372816,280.44044843157405,85.28294572429512,98754.39950029946,-5.820766091346741e-11,282.78935878904366,1.0000011324882507,0.0001090747684091,6.163786242817443,9.07765821529934,2020-12-26 23:00:00,5.3,1609023600,361,6,23,training
133.9107832003532,273.1165735241462,92.9876336268162,96519.54022138656,-5.820766091346741e-11,274.1223231570821,0.9733122584748232,0.0,0.5798847022749358,2.5982517786523553,2020-12-27 22:00:00,12.9,1609106400,362,7,22,training
113.74214596856255,273.0893330106243,93.84278464613858,96488.76334656776,-5.820766091346741e-11,273.9677913127268,0.9171115020474624,0.0,0.1042294499566076,2.658547322538679,2020-12-27 23:00:00,13.0,1609110000,362,7,23,training
120.26894107273928,273.0577913633884,94.02030670706056,96471.2334761208,-5.820766091346741e-11,273.9098122899594,0.9778748504302348,0.0,0.3568479353931924,2.5793355295899794,2020-12-28 00:00:00,10.8,1609113600,363,1,0,training
96.76687629847208,272.9741582078386,94.21017600870856,96428.10601075985,-5.820766091346741e-11,273.7976406295851,0.9753112536124784,0.0,0.3258575635738343,1.898941696127642,2020-12-28 01:00:00,13.2,1609117200,363,1,1,training
77.01841900901036,272.9870616089806,95.3259836144402,96386.27336537508,-5.820766091346741e-11,273.6476051176076,0.9515522045336297,1.2959378424849937e-06,0.1875747681071535,1.436675859665828,2020-12-28 02:00:00,6.3,1609120800,363,1,2,training
60.46332928124889,273.12780426217716,95.28522585750166,96413.26538180192,-5.820766091346741e-11,273.7950374897874,0.9384748088620988,5.723725470975841e-06,-0.0955645380606173,1.2519468649160623,2020-12-28 03:00:00,5.5,1609124400,363,1,3,training
63.40458887755176,273.31968261619556,95.65862131544924,96380.59607778714,-5.820766091346741e-11,273.9337138462839,0.9295479985145544,2.5378782748666177e-06,-0.3711910268176348,1.60071520700362,2020-12-28 04:00:00,7.8,1609128000,363,1,4,testing
64.72115269684912,272.50485672926806,98.47166412637964,96345.83514150314,-5.820766091346741e-11,272.71615436817007,0.9232916015188394,4.31979280828259e-07,-0.4519538139832342,1.7301732865242558,2020-12-28 05:00:00,8.9,1609131600,363,1,5,training
45.925103276666505,272.9844331383776,99.84992768722232,96316.45268819715,-5.820766091346741e-11,273.0051028857166,0.955092409662912,0.0,-0.2181173720735327,1.4839664823217682,2020-12-28 06:00:00,8.6,1609135200,363,1,6,training
46.345283218995405,272.532575146536,99.99526300565316,96316.75149280706,-5.820766091346741e-11,272.53322463511233,0.9956979521155884,0.0,-0.4524233650714064,1.6160846593668006,2020-12-28 07:00:00,7.3,1609138800,363,1,7,training
45.08474339200848,272.07569916536136,99.83495424295144,96341.65187696464,-5.820766091346741e-11,272.0982636398211,0.9888464344300372,0.0,-0.5362382343101246,1.5285970074533115,2020-12-28 08:00:00,9.7,1609142400,363,1,8,training
28.44561767578125,272.6250495213867,98.95238958492936,96386.6717715216,65398.31981310941,272.7696370585595,0.9653925754485402,0.0,-0.7257020983875635,0.8496810059489723,2020-12-28 09:00:00,3.8,1609146000,363,1,9,training
57.10188974261712,272.850859041371,98.61670296086676,96453.2055979907,216060.54113576363,273.04249343917473,0.9352092748204328,2.699870505177161e-07,-1.2433821730972938,0.0312576676096099,2020-12-28 10:00:00,8.5,1609149600,363,1,10,training
87.99912150187424,273.88504274771185,98.42869836500964,96468.04622694865,344066.3758592999,274.1048111257156,0.9516285020579676,9.449546768120496e-06,-1.4135944425596765,-1.004406968555477,2020-12-28 11:00:00,9.0,1609153200,363,1,11,training
160.5782035401653,274.85757687081895,96.51471183385702,96479.20159905124,418744.4656690141,275.35431822861966,0.9759063743023146,1.0043518279259514e-05,-1.80285229465434,-1.9348499693110977,2020-12-28 12:00:00,12.7,1609156800,363,1,12,training
312.4872586901664,275.2929471834236,95.42703348125195,96535.17766263752,418497.0051357713,275.95114718951436,0.9823153663467056,3.239844606213027e-07,-1.8195213582844496,-2.2809582138742583,2020-12-28 13:00:00,14.7,1609160400,363,1,13,training
432.0144462846813,275.2637950549177,95.15695322453654,96595.53619383556,366818.9971102345,275.96179639777773,0.9562216130231144,1.4579300727957534e-06,-1.9021623498027371,-2.9879530225805624,2020-12-28 14:00:00,14.2,1609164000,363,1,14,testing
457.0291588513328,274.7667751590792,94.99165845690877,96693.54410587986,223278.1400220118,275.48636841108566,0.9558859039160272,2.591875684970204e-06,-1.2642771965209518,-3.5622385214586343,2020-12-28 15:00:00,7.4,1609167600,363,1,15,testing
360.6118680849113,274.4814666227181,95.77048059112172,96787.46835492233,56091.05420169985,275.0850115840923,0.8918570214915891,1.2959378424849937e-06,-0.5871845273767966,-3.6636177937773056,2020-12-28 16:00:00,6.1,1609171200,363,1,16,testing
266.6316209839979,274.13044632128214,95.86045008955809,96875.61571484024,-5.820766091346741e-11,274.7191521179768,0.7745724670792365,4.31979280828259e-07,0.3420570761157715,-3.588248363919401,2020-12-28 17:00:00,8.2,1609174800,363,1,17,training
327.92186857171725,274.0360603314474,95.95847226843534,96982.9861713278,-5.820766091346741e-11,274.6100568955452,0.8159715037850279,0.0,1.454188828451369,-3.8844058883022257,2020-12-28 18:00:00,12.2,1609178400,363,1,18,testing
399.01631481377945,274.0167052297345,95.58443768729008,97081.09368490874,-5.820766091346741e-11,274.64508095827813,0.9295327390096866,6.317696982114859e-06,1.6307400376040757,-3.517016863543891,2020-12-28 19:00:00,19.2,1609182000,363,1,19,testing
391.42506385570266,274.16318272788305,95.53449491522927,97152.4083851361,-5.820766091346741e-11,274.7996128026335,0.9413283362723394,2.2678912243489016e-06,1.7896830809503284,-2.8094309220543887,2020-12-28 20:00:00,16.5,1609185600,363,1,20,training
450.9785676817956,274.3445471994895,94.41917347985408,97224.12149151,-5.820766091346741e-11,275.14630369387487,1.0000011324882507,1.1879430222780374e-06,2.617501649397725,-2.6066723774170457,2020-12-28 21:00:00,13.4,1609189200,363,1,21,testing
351.98417326908975,274.46426208786215,94.368505942591,97301.71108854508,-5.820766091346741e-11,275.27433084210804,0.9924934560933928,1.7279171233134695e-06,2.9522915752644256,-1.3135694141686851,2020-12-28 22:00:00,18.1,1609192800,363,1,22,training
363.91728363123264,274.3846911141534,93.95758267810788,97364.75886123213,-5.820766091346741e-11,275.25539891630643,0.9806520803161374,1.9979041738311856e-06,3.11945176265369,-1.3762294891878055,2020-12-28 23:00:00,16.3,1609196400,363,1,23,training
400.5289626061637,274.2566129102257,93.12491647857637,97445.43610590274,-5.820766091346741e-11,275.2511392330011,0.9552297452067204,2.591875684970204e-06,3.251630393974134,-1.547953562707188,2020-12-29 00:00:00,15.1,1609200000,364,2,0,training
412.5461089567723,273.9672421920236,92.03578005800529,97476.51178533144,-5.820766091346741e-11,275.124058681058,0.9327524945367496,3.185847196109223e-06,3.1962233655698267,-1.4229289790605464,2020-12-29 01:00:00,14.0,1609203600,364,2,1,training
409.1846694181405,273.72590080029437,90.99443967985673,97521.53167988836,-5.820766091346741e-11,275.0395749621685,0.9013179145094994,1.1339456121744508e-06,3.07907036907089,-1.3236186714830722,2020-12-29 02:00:00,12.7,1609207200,364,2,2,testing
403.8623901486402,273.36388871270043,91.31259721816856,97598.9220738502,-5.820766091346741e-11,274.624965787114,0.905834727950308,4.859766909318455e-07,2.9407875736042093,-0.9346533001379655,2020-12-29 03:00:00,11.0,1609210800,364,2,3,testing
321.92730139449066,273.13234434776416,91.94433239781442,97637.06946237964,-5.820766091346741e-11,274.2950769800215,0.9276405604061048,1.1879430222780374e-06,2.702490396356873,-0.1206634576725974,2020-12-29 04:00:00,11.2,1609214400,364,2,4,testing
171.3067980676318,272.8183615866431,91.58835326345589,97669.14115717464,-5.820766091346741e-11,274.0319232113796,0.9904944609557376,4.31979280828259e-07,2.1726019933546685,0.406626984941134,2020-12-29 05:00:00,11.2,1609218000,364,2,5,training
148.22491323569352,272.6955403239215,91.32431352713832,97725.31642383416,-5.820766091346741e-11,273.9479127906351,0.9483171895016989,4.859766909318455e-07,2.2153311423783286,0.5322427013709747,2020-12-29 06:00:00,11.9,1609221600,364,2,6,training
153.96737244752285,272.79136002499416,91.54581756095725,97816.35222831435,-5.820766091346741e-11,274.0110980929978,0.9237799056746026,1.0259507919672776e-06,2.3160498507912424,0.2795334365532952,2020-12-29 07:00:00,11.1,1609225200,364,2,7,training
